編號,學名,中名,評估,特有性,呂勝由,特稀圖,FOT,特稀有,賴明洲,渡假,文建會,教育廳,蘇鴻傑1,蘇鴻傑2
1,ADIANTACEAE,鐵線蕨科,,,,,,,,,,,,
2,Acrostichum aureum ,鹵蕨,,,EN(II),,,,,III,III,III,,
3,Adiantum capillus-junonis ,對葉鐵線蕨,,,CR(II),,,,,,,,,
4,Adiantum edentulum,月芽鐵線蕨,,,LC(Ⅳ),,,,,,,,,
5,Adiantum roborowskii var. taiwanianum,臺灣高山鐵線蕨,,Endemic,VU(Ⅳ),,rank2,第二級,,,,,,
6,Anogramma leptophylla,翠蕨,,,NT(Ⅵ),,,,,,,,,
7,Coniogramme procera,高山鳳丫蕨,,,NT(Ⅳ),,,,,,,,,
8,Gymnopteris vestita,金毛裸蕨,,,,,,,稀有級,,,,,
9,Hemionitis arifolia ,澤瀉蕨,,,EN(II),,,,漸危級,,,,,
10,ASPIDIACEAE,三叉蕨科,,,,,,,,,,,,
11,Pteridrys cnemidaria,長柄牙蕨,,,,,,,稀有級,III,III,III,,
12,ASPLENIACEAE,鐵角蕨科,,,,,,,,,,,,
13,Asplenium obscurum,綠柄剪葉鐵角蕨,,,NT(Ⅳ),,,,,III,III,III,,
14,Asplenium pekinense,北京鐵角蕨,,,NT(Ⅳ),,,,,,,,,
15,Asplenium pulcherrimum,細葉鐵角蕨,,,VU(Ⅳ),,,,,,,,,
16,Asplenium ruta-muraria,銀杏葉鐵角蕨,,,NT(Ⅳ),,,,稀有級,,,,,
17,Asplenium scolopendrium ,對開蕨,,,CR(II),,,,,,,,,
18,Asplenium septentrionale,線葉鐵角蕨,,,LC(Ⅳ),,,,,,,,,
19,ATHYRIACEAE,蹄蓋蕨科,,,,,,,,,,,,
20,Athyrium cryptogrammoides,合歡山蹄蓋蕨,,Endemic,,,rank4,,,,,,,
21,Diplazium chinense,中華雙蓋蕨,,,,,,,稀有級,,,,,
22,Woodsia okamotoi,岡本氏岩蕨,,Endemic,CR(Ⅳ),,rank1,第一級,稀有級,,,,,
23,BLECHNACEAE,烏毛蕨科,,,,,,,,,,,,
24,Struthiopteris eburneum var. obtusa ,天長烏毛蕨,,Endemic,EN(Ⅳ),,,,,,,,,
25,Brainea insignis,蘇鐵蕨,,,EN(II),,,,稀有級,III,III,III,,
26,Blechnum fraseri ,假桫欏,,,NT(Ⅳ),,,,漸危級,III,III,III,,
27,Woodwardia harlandii ,哈氏狗脊蕨,,,,,,,稀有級,III,III,III,,
28,Woodwardia kempii,細葉狗脊蕨,,,VU(Ⅳ),,,,,,,,,
29,CYATHEACEAE,桫欏科,,,,,,,,,,,,
30,Alsophila fenicis,蘭嶼筆筒樹,,,VU(Ⅵ),,,,稀有級,III,III,III,,
31,Alsophila loheri,南洋桫欏,,,NT(Ⅵ),,,,稀有級,III,III,III,,
32,DENNSTAEDTIACEAE,碗蕨科,,,,,,,,,,,,
33,Microlepia trichocarpa,毛果鱗蓋蕨,,Endemic,,,rank3,第三級,,,,,,
34,Paesia radula,臺灣曲軸蕨,,Endemic,CR(Ⅵ),,rank4,第四級,稀有級,III,III,III,,
35,DRYOPTERIDACEAE,鱗毛蕨科,,,,,,,,,,,,
36,Arachniodes globisora,臺灣複葉耳蕨,,Endemic,,,rank4,第三級,,,,,,
37,Crytomium fraxinellum ,網脈耳蕨,,,EN(II),,,,,,,,,
38,Cytomium taiwanianum,臺灣貫眾蕨,,Endemic,DD(Ⅴ),,rank4,第二級,,,,,,
39,Diacalpe aspidioides,紅線蕨,,,VU(Ⅵ),,,,稀有級,,,,,
40,Dryopteris enneaphylla var. pseudosieboldii,大頂羽鱗毛蕨,,,,,rank3,,,,,,,
41,Dryopteris yoroii,玉山假複葉耳蕨,,,DD(Ⅵ),,rank4,,,,,,,
42,Polystichum xiphophyllum,關山耳蕨,,,CR(Ⅴ),,,,,III,III,III,,
43,GLEICHENIACEAE,裏白科,,,,,,,,,,,,
44,Diplopterygium laevissimum,鱗芽裏白,,,,,,,稀有級,III,III,,,
45,GRAMMITIDACEAE,禾葉蕨科,,,,,,,,,,,,
46,Calymmodon cucullatus ,姬荷包蕨,,,VU(Ⅴ),,,,稀有級,III※,III※,III,,
47,Ctenopteris merrittii ,擬虎尾蒿蕨,,,CR(Ⅴ),,,,稀有級,,,,,
48,Calymmodon gracilis,疏毛荷包蕨,,,VU(Ⅴ),,,,,,,,,
49,Calymmodon tenuisecta,細葉蒿蕨,,,VU(Ⅴ),,,,稀有級,III,III,III,,
50,Ctenopteris mollicoma,南洋蒿蕨,,,,,,,稀有級,,,,,
51,Gammitis alepidota,無鱗禾葉蕨,,,CR(Ⅳ),,,,,,,,,
52,Gammitis nuda,長孢禾葉蕨,,Endemic,,第二級,rank2,,,,,,,
53,Grammitis adspera,無毛禾葉蕨,,,,,,,稀有級,III,III,III,,
54,Grammitis reinwardtii,毛禾葉蕨,,,VU(Ⅴ),,,,,,,,,
55,Scleropteris pusillum,革舌蕨,,,,,,,稀有級,III,III,III,,
56,HYMENOPHYLLACEAE,膜蕨科,,,,,,,,,,,,
57,Abrodictyum cumingii,長片蕨,,,VU(Ⅵ),,,,,,,,,
58,Trichomanes kurzii ,柯氏假脈蕨,,,NT(Ⅵ),,,,,,,,,
59,Trichomanes palmifolium ,變葉假脈蕨,,Endemic,,,rank4,第四級,,,,,,
60,Hymenophyllum devolii,臺灣膜蕨,,Endemic,,,rank4,第四級,,,,,,
61,Hymenophyllum taiwanense  ,臺灣蕗蕨,,,,,,第四級,,,,,,
62,Trichomanes bimarginatum ,叉脈單葉假脈蕨,,,CR(Ⅴ),,,,稀有級,III,III,III,,
63,Trichomanes motleyi ,短柄單葉假脈蕨,,,NT(Ⅴ),,,,,,,,,
64,Trichomanes nitidulum ,細口團扇蕨,,,VU(Ⅴ),,,,,,,,,
65,PTrichomanes pallidum ,毛葉蕨,,,VU(Ⅴ),,,,,,,,,
66,Trichomanes clathratum,窗格狀瓶蕨,,,CR(Ⅴ),,,,,,,,,
67,ISOETACEAE,水韭科,,,,,,,,,,,,
68,Isoetes taiwanensis ,臺灣水韭,,Endemic,CR(II),第一級,rank1,第一級,瀕危級,"I,III※",III※,III,,
69,LINDSAEACEAE,陵齒蕨科,,,,,,,,,,,,
70,Lindsaea heterophylla,異葉陵齒蕨,,,NT(Ⅵ),,,,,,,,,
71,Lindsaea securifolia var. kusukusensis,方柄陵齒蕨,,Endemic,,,rank3,第三級,,,,,,
72,Tapeinidium biserratum ,二羽達邊蕨,,,,,,,稀有級,III,III,III,,
73,LOMARIOPSIDACEAE,羅蔓藤蕨科,,,,,,,,,,,,
74,Bolbitis scalpturata,紅柄實蕨,,,VU(Ⅵ),,,,,,,,,
75,Elaphoglossum callifolium,銳頭舌蕨,,,VU(Ⅳ),,,,,,,,,
76,Elaphoglossum luzonicum,臺灣舌蕨,,,NT(Ⅳ),,,,,,,,,
77,LYCOPODIACEAE,石松科,,,,,,,,,,,,
78,Lycopodium annotinum,杉葉蔓石松,,,NT(Ⅵ),,,,,,,,,
